id,num_choices,prediction,scores
test_02929,5,3,"[-1.796875, -1.796875, -2.171875, -1.171875, -1.421875]"
test_02616,5,3,"[-1.484375, -1.609375, -2.234375, -1.234375, -1.734375]"
test_00841,5,4,"[-1.453125, -2.828125, -2.453125, -2.078125, -0.703125]"
test_04060,5,3,"[-1.5546875, -1.8046875, -2.421875, -1.0546875, -1.6796875]"
test_03240,5,3,"[-1.390625, -1.515625, -2.140625, -1.265625, -2.015625]"
test_03901,3,2,"[-3.328125, -3.453125, -0.07080078125]"
test_00141,2,1,"[-1.140625, -0.38671875]"
test_00381,2,1,"[-0.97265625, -0.474609375]"
test_00629,2,0,"[-0.314453125, -1.3125]"
test_02774,2,0,"[-0.474609375, -0.9765625]"
test_03277,2,0,"[-0.349609375, -1.2265625]"
test_03412,5,3,"[-1.6015625, -1.6015625, -2.09375, -1.2265625, -1.7265625]"
test_00429,3,2,"[-5.125, -5.0, -0.01312255859375]"
test_00469,5,3,"[-1.4609375, -1.7109375, -2.21875, -1.2109375, -1.7109375]"
test_01889,5,2,"[-3.984375, -3.734375, -0.609375, -2.109375, -1.234375]"
test_00001,3,1,"[-3.65625, -0.0274658203125, -7.03125]"
test_00620,3,0,"[-0.02685546875, -4.78125, -4.03125]"
test_01270,3,1,"[-2.03125, -0.1513671875, -4.78125]"
test_02024,3,0,"[-0.041015625, -3.921875, -3.921875]"
test_02075,3,0,"[-0.07373046875, -3.703125, -3.078125]"
test_03101,3,1,"[-4.25, -0.01495361328125, -7.375]"
test_03301,3,2,"[-4.15625, -5.40625, -0.020751953125]"
test_03936,3,1,"[-4.15625, -0.017333984375, -6.90625]"
test_01058,5,1,"[-1.3359375, -1.2109375, -1.8359375, -1.5859375, -2.59375]"
test_02818,5,1,"[-1.6796875, -1.4296875, -1.6796875, -1.4296875, -1.9296875]"
test_03851,5,1,"[-1.515625, -1.390625, -1.390625, -1.890625, -2.015625]"
test_00171,5,2,"[-2.59375, -2.21875, -0.59375, -2.46875, -1.71875]"
test_00050,5,0,"[-1.3359375, -1.4609375, -1.8359375, -1.5859375, -1.9609375]"
test_02771,5,3,"[-1.5546875, -1.6796875, -1.9296875, -1.3046875, -1.6796875]"
test_02012,5,1,"[-1.5234375, -1.3984375, -1.3984375, -1.7734375, -2.140625]"
test_02088,5,1,"[-1.4453125, -1.1953125, -1.5703125, -1.6953125, -2.6875]"
test_00712,5,2,"[-1.515625, -1.390625, -1.265625, -1.765625, -2.515625]"
test_01241,5,0,"[-1.359375, -1.359375, -1.734375, -1.609375, -2.234375]"
test_00055,3,2,"[-6.25, -4.625, -0.0120849609375]"
test_01097,3,2,"[-8.0, -5.0, -0.007293701171875]"
test_02885,3,0,"[-0.1015625, -2.96875, -3.09375]"
test_04147,3,1,"[-7.75, -0.001617431640625, -7.5]"
test_00130,2,0,"[-0.00201416015625, -7.5]"
test_03028,2,0,"[-0.003814697265625, -6.75]"
test_00234,3,2,"[-9.125, -6.375, -0.0019683837890625]"
test_01152,3,1,"[-6.125, -0.00262451171875, -8.375]"
test_01174,3,1,"[-8.0, -0.0007781982421875, -8.5]"
test_01502,3,2,"[-11.25, -9.625, -0.0002040863037109375]"
test_00766,3,2,"[-6.875, -5.0, -0.00799560546875]"
test_02418,3,0,"[-0.0022735595703125, -9.375, -10.125]"
test_00719,3,2,"[-10.75, -6.25, -0.002288818359375]"
test_00610,2,1,"[-2.703125, -0.0703125]"
test_03913,2,0,"[-0.0031280517578125, -6.0]"
test_00335,2,0,"[-0.010498046875, -4.625]"
test_00812,2,0,"[-0.011962890625, -4.5]"
test_01882,2,1,"[-5.0, -0.007080078125]"
test_01001,3,1,"[-9.875, -0.000308990478515625, -11.125]"
test_01053,3,2,"[-9.875, -9.25, -0.000396728515625]"
test_01863,3,0,"[-0.0008087158203125, -11.25, -11.5]"
test_02274,3,1,"[-7.75, -0.000804901123046875, -8.75]"
test_03775,3,2,"[-10.625, -9.0, -0.000400543212890625]"
test_02142,4,3,"[-2.0, -1.75, -1.125, -1.0]"
test_00202,2,0,"[-0.09716796875, -2.484375]"
test_00341,2,0,"[-0.0771484375, -2.6875]"
test_00671,2,0,"[-0.07666015625, -2.828125]"
test_00700,2,1,"[-2.34375, -0.10107421875]"
test_00727,2,0,"[-0.054443359375, -3.046875]"
test_01077,2,1,"[-2.8125, -0.06298828125]"
test_01541,2,0,"[-0.0693359375, -2.8125]"
test_02493,2,1,"[-2.46875, -0.09033203125]"
test_03186,2,1,"[-2.578125, -0.080078125]"
test_03720,2,1,"[-2.34375, -0.1015625]"
test_03823,2,0,"[-0.057861328125, -3.0625]"
test_03219,3,2,"[-1.65625, -2.90625, -0.283203125]"
test_00092,2,1,"[-6.0, -0.0028076171875]"
test_00260,2,0,"[-0.00250244140625, -6.25]"
test_01290,2,1,"[-6.0, -0.0027618408203125]"
test_01407,2,1,"[-6.0, -0.0027313232421875]"
test_01970,2,0,"[-0.0037384033203125, -5.75]"
test_02029,2,1,"[-6.125, -0.0024566650390625]"
test_00361,3,1,"[-9.125, -0.0005340576171875, -8.625]"
test_00424,3,0,"[-0.00408935546875, -6.0, -6.875]"
test_01045,3,2,"[-7.25, -6.25, -0.0028533935546875]"
test_01746,3,1,"[-6.25, -0.00262451171875, -7.75]"
test_01911,3,2,"[-6.125, -4.5, -0.013427734375]"
test_02957,3,2,"[-6.125, -4.625, -0.0120849609375]"
test_03280,3,2,"[-7.625, -6.625, -0.0020904541015625]"
test_00953,4,2,"[-2.9375, -1.8046875, -0.55859375, -1.5546875]"
test_01341,4,2,"[-6.75, -3.234375, -0.111328125, -2.734375]"
test_03003,4,2,"[-7.75, -4.375, -0.01361083984375, -7.5]"
test_01440,3,2,"[-1.484375, -2.609375, -0.357421875]"
test_00594,4,3,"[-3.328125, -2.578125, -2.703125, -0.1982421875]"
test_04057,4,1,"[-4.40625, -0.0189208984375, -5.40625, -6.40625]"
test_00918,2,1,"[-7.625, -0.00125885009765625]"
test_02429,2,1,"[-7.5, -0.00115966796875]"
test_02623,2,0,"[-0.06494140625, -2.953125]"
test_02709,2,0,"[-0.026123046875, -3.890625]"
test_02821,2,1,"[-8.0, -0.000881195068359375]"
test_01453,4,0,"[-0.000247955322265625, -12.875, -13.0, -16.0]"
test_00455,4,1,"[-10.375, -0.0004444122314453125, -8.75, -9.5]"
test_02651,4,1,"[-11.125, -0.0002651214599609375, -9.875, -10.75]"
test_00933,4,0,"[-0.00049591064453125, -9.25, -10.0, -11.375]"
test_03805,4,2,"[-11.625, -9.25, -0.0004634857177734375, -10.125]"
test_01090,4,2,"[-12.125, -11.375, -0.000240325927734375, -9.5]"
test_00192,4,1,"[-5.5, -0.01507568359375, -5.5, -5.0]"
test_01705,4,0,"[-0.00052642822265625, -8.875, -9.125, -10.125]"
test_01625,4,1,"[-11.375, -0.000274658203125, -9.625, -10.125]"
test_02999,4,1,"[-8.75, -0.000568389892578125, -8.375, -9.875]"
test_04153,4,2,"[-11.625, -11.125, -0.000476837158203125, -8.125]"
test_02343,4,3,"[-11.0, -11.25, -8.25, -0.000499725341796875]"
test_01274,4,0,"[-0.0006561279296875, -8.625, -8.875, -10.5]"
test_02831,4,3,"[-10.5, -10.25, -9.125, -0.0003643035888671875]"
test_03394,4,3,"[-9.875, -10.125, -10.25, -0.0002593994140625]"
test_00023,4,3,"[-9.0, -9.375, -8.75, -0.00075531005859375]"
test_03984,4,3,"[-9.75, -9.5, -7.5, -0.000827789306640625]"
test_00809,4,0,"[-0.0004119873046875, -10.5, -10.875, -13.125]"
test_01990,4,2,"[-10.875, -10.5, -0.00018978118896484375, -11.75]"
test_02656,4,0,"[-0.000370025634765625, -10.875, -10.875, -13.25]"
test_00725,4,2,"[-12.625, -10.875, -0.0002231597900390625, -9.875]"
test_02802,4,0,"[-0.000370025634765625, -9.625, -9.75, -11.875]"
test_03262,4,0,"[-0.00030517578125, -11.0, -10.875, -12.875]"
test_00528,4,3,"[-9.875, -9.375, -8.875, -0.0004329681396484375]"
test_02667,4,2,"[-10.875, -9.875, -0.00115966796875, -7.0]"
test_00034,2,1,"[-6.5, -0.0017852783203125]"
test_00073,2,0,"[-0.019287109375, -4.25]"
test_02816,2,1,"[-6.625, -0.0016326904296875]"
test_00365,4,1,"[-1.96875, -1.09375, -1.34375, -1.34375]"
test_01394,4,0,"[-0.0164794921875, -5.28125, -6.15625, -4.78125]"
test_00428,2,0,"[-0.008056640625, -6.625]"
test_00738,2,0,"[-0.007110595703125, -6.5]"
test_01107,2,0,"[-0.01214599609375, -6.25]"
test_01158,2,1,"[-7.625, -0.0006561279296875]"
test_01242,2,0,"[-0.0098876953125, -6.0]"
test_01643,2,0,"[-0.00933837890625, -6.625]"
test_02008,2,1,"[-7.0, -0.0010986328125]"
test_02103,2,1,"[-7.625, -0.00067138671875]"
test_02693,2,0,"[-0.00933837890625, -6.625]"
test_03659,2,0,"[-0.0091552734375, -6.375]"
test_03769,2,0,"[-0.007720947265625, -6.5]"
test_00525,3,1,"[-6.25, -0.004302978515625, -6.125]"
test_01236,3,0,"[-0.007781982421875, -5.25, -6.125]"
test_01622,3,0,"[-0.0047607421875, -5.875, -6.5]"
test_02916,3,1,"[-5.125, -0.0067138671875, -7.5]"
test_03816,3,0,"[-0.0038909912109375, -6.125, -6.75]"
test_03869,3,2,"[-7.125, -5.125, -0.006988525390625]"
test_03919,3,0,"[-0.002197265625, -6.75, -7.5]"
test_03988,3,1,"[-4.625, -0.0107421875, -7.125]"
test_01450,3,1,"[-1.8515625, -0.2255859375, -3.09375]"
test_00492,2,1,"[-6.125, -0.0026092529296875]"
test_00540,2,0,"[-0.205078125, -1.703125]"
test_00834,2,1,"[-7.0, -0.0012969970703125]"
test_01464,2,0,"[-0.3515625, -1.2265625]"
test_01505,2,0,"[-0.265625, -1.515625]"
test_02275,2,1,"[-6.75, -0.0015869140625]"
test_02284,2,1,"[-6.875, -0.00148773193359375]"
test_02894,3,2,"[-4.09375, -2.71875, -0.0869140625]"
test_00475,3,1,"[-11.125, -0.00060272216796875, -8.0]"
test_01064,3,2,"[-9.0, -8.625, -0.00055694580078125]"
test_03960,3,1,"[-10.5, -0.0004787445068359375, -8.375]"
test_03881,3,0,"[-0.64453125, -1.265625, -1.640625]"
test_00397,3,2,"[-0.8046875, -3.0625, -0.6796875]"
test_03722,3,2,"[-1.734375, -3.359375, -0.236328125]"
test_02030,3,1,"[-4.84375, -0.357421875, -1.234375]"
test_00950,3,1,"[-1.859375, -0.86328125, -0.86328125]"
test_02364,3,2,"[-1.625, -1.625, -0.5]"
test_01413,3,2,"[-2.03125, -1.28125, -0.52734375]"
test_03651,3,2,"[-4.8125, -1.0625, -0.4375]"
test_03898,3,1,"[-4.375, -0.23828125, -1.6171875]"
test_02054,3,0,"[-0.396484375, -1.3984375, -2.515625]"
test_03564,3,1,"[-5.28125, -0.1474609375, -2.015625]"
test_00013,3,2,"[-4.40625, -2.03125, -0.1552734375]"
test_02358,3,2,"[-2.046875, -3.421875, -0.17578125]"
test_00542,2,1,"[-6.25, -0.002197265625]"
test_02751,2,1,"[-6.75, -0.001434326171875]"
test_02966,2,0,"[-0.00506591796875, -5.625]"
test_04181,2,1,"[-6.75, -0.00144195556640625]"
test_02624,3,2,"[-1.3203125, -1.4453125, -0.6953125]"
test_00611,3,2,"[-0.84765625, -2.46875, -0.72265625]"
test_03121,3,2,"[-2.578125, -1.578125, -0.330078125]"
test_04207,2,0,"[-0.6328125, -0.7578125]"
test_03589,3,1,"[-3.0, -0.74609375, -0.74609375]"
test_02092,3,0,"[-0.66796875, -2.421875, -0.91796875]"
test_03559,4,2,"[-7.5, -7.125, -0.00616455078125, -5.375]"
test_01349,4,2,"[-9.0, -7.75, -0.001556396484375, -7.125]"
test_00151,3,0,"[-0.049072265625, -5.1875, -3.171875]"
test_02722,3,1,"[-0.828125, -0.578125, -6.6875]"
test_01180,3,2,"[-1.4453125, -3.203125, -0.322265625]"
test_01062,3,0,"[-0.51171875, -3.265625, -1.015625]"
test_00910,3,2,"[-3.21875, -1.09375, -0.46875]"
test_04098,3,2,"[-1.0859375, -3.34375, -0.46484375]"
test_01501,3,1,"[-8.1875, -0.0791015625, -2.578125]"
test_03493,3,0,"[-0.6328125, -0.7578125, -6.25]"
test_02589,3,2,"[-5.25, -5.375, -0.010009765625]"
test_03162,3,2,"[-3.53125, -0.7890625, -0.6640625]"
test_01590,3,1,"[-1.171875, -0.419921875, -3.421875]"
test_00430,2,1,"[-0.828125, -0.578125]"
test_02315,2,1,"[-0.7578125, -0.6328125]"
test_02992,3,1,"[-1.0703125, -0.44140625, -4.3125]"
test_02906,3,2,"[-2.703125, -2.203125, -0.197265625]"
test_00295,3,0,"[-0.28515625, -1.78125, -2.53125]"
test_00779,3,1,"[-2.8125, -0.06298828125, -7.0625]"
test_00705,3,0,"[-0.41015625, -1.15625, -3.78125]"
test_00362,3,0,"[-0.77734375, -2.53125, -0.77734375]"
test_00344,3,1,"[-1.6015625, -0.23046875, -5.34375]"
test_02221,3,1,"[-0.9765625, -0.474609375, -6.96875]"
test_03237,3,1,"[-0.83984375, -0.58984375, -4.34375]"
test_02630,3,0,"[-0.451171875, -1.328125, -2.328125]"
test_01150,3,0,"[-0.2314453125, -1.609375, -5.09375]"
test_03444,3,2,"[-0.953125, -2.953125, -0.578125]"
test_02129,3,2,"[-1.1015625, -1.2265625, -0.98046875]"
test_00704,3,0,"[-0.1865234375, -1.8125, -4.9375]"
test_03797,3,1,"[-5.53125, -0.02734375, -3.78125]"
test_02496,3,1,"[-4.5625, -0.1904296875, -1.8125]"
test_03306,3,1,"[-1.140625, -0.38671875, -9.0]"
test_03538,3,1,"[-1.5078125, -0.25390625, -6.0]"
test_01743,3,2,"[-5.28125, -3.90625, -0.0260009765625]"
test_00369,3,0,"[-0.0859375, -2.59375, -4.96875]"
test_03034,3,1,"[-0.9140625, -0.5390625, -4.03125]"
test_02793,3,2,"[-1.28125, -2.03125, -0.52734375]"
test_01813,3,1,"[-0.8359375, -0.5859375, -4.59375]"
test_01624,3,2,"[-13.5, -11.125, -0.0002079010009765625]"
test_02535,3,1,"[-7.46875, -0.2255859375, -1.6015625]"
test_00378,2,0,"[-0.38671875, -1.140625]"
test_01763,2,0,"[-0.349609375, -1.2265625]"
test_04114,2,0,"[-0.38671875, -1.140625]"
test_00544,3,1,"[-1.3203125, -0.318359375, -5.1875]"
test_00980,3,0,"[-0.005462646484375, -5.625, -6.625]"
test_03239,3,1,"[-3.84375, -0.091796875, -2.71875]"
test_01318,3,0,"[-0.359375, -1.359375, -3.109375]"
test_02479,3,1,"[-0.765625, -0.640625, -4.65625]"
test_02101,3,1,"[-2.9375, -0.306640625, -1.5546875]"
test_01868,3,1,"[-2.671875, -0.546875, -1.046875]"
test_03706,3,1,"[-2.953125, -0.333984375, -1.4609375]"
test_01007,3,1,"[-3.5, -0.11962890625, -2.5]"
test_02822,3,2,"[-2.03125, -1.0390625, -0.6640625]"
test_01492,3,1,"[-2.90625, -0.28125, -1.65625]"
test_01984,3,1,"[-1.5625, -0.8125, -1.0625]"
test_02039,3,2,"[-5.21875, -1.609375, -0.23046875]"
test_04223,3,1,"[-0.76171875, -0.63671875, -6.0]"
test_00581,3,2,"[-1.7265625, -1.6015625, -0.4765625]"
test_02445,3,0,"[-0.7734375, -2.03125, -0.8984375]"
test_02119,3,0,"[-0.408203125, -2.40625, -1.40625]"
test_00333,3,0,"[-0.45703125, -3.578125, -1.0859375]"
test_03022,3,2,"[-0.98046875, -1.609375, -0.85546875]"
test_02125,3,0,"[-0.333984375, -2.078125, -1.8359375]"
test_03023,3,0,"[-0.1015625, -3.09375, -2.96875]"
test_00999,3,0,"[-0.0703125, -3.328125, -3.453125]"
test_04189,3,2,"[-1.78125, -1.78125, -0.41015625]"
test_03596,3,2,"[-3.203125, -3.453125, -0.0751953125]"
test_03782,3,2,"[-3.078125, -3.453125, -0.08056640625]"
test_04069,3,1,"[-2.65625, -0.1611328125, -2.53125]"
test_02509,3,0,"[-0.2890625, -1.5390625, -3.296875]"
test_04157,3,2,"[-1.6796875, -1.1796875, -0.6796875]"
test_01764,3,1,"[-7.875, -0.00104522705078125, -7.5]"
test_01972,3,0,"[-0.0023956298828125, -7.25, -6.5]"
test_00574,3,2,"[-1.265625, -1.640625, -0.64453125]"
test_01658,2,0,"[-0.0625, -2.8125]"
test_02298,2,0,"[-0.10107421875, -2.34375]"
test_02621,2,0,"[-0.08984375, -2.46875]"
test_03908,2,0,"[-0.055419921875, -2.9375]"
test_04095,3,2,"[-7.75, -6.0, -0.003082275390625]"
test_02678,2,0,"[-0.0032196044921875, -7.25]"
test_02097,3,0,"[-0.004302978515625, -6.0, -6.375]"
test_01670,3,2,"[-2.4375, -2.4375, -0.19140625]"
test_00110,3,2,"[-8.375, -8.25, -0.000606536865234375]"
test_03182,3,1,"[-1.9140625, -0.287109375, -2.28125]"
test_00768,3,0,"[-0.0267333984375, -4.03125, -4.78125]"
test_00983,2,1,"[-0.7578125, -0.6328125]"
test_00042,2,1,"[-5.75, -0.0033416748046875]"
test_03751,2,0,"[-0.00164031982421875, -7.375]"
test_03086,2,0,"[-0.0019683837890625, -6.875]"
test_02449,3,0,"[-0.83203125, -1.328125, -1.203125]"
test_02679,2,1,"[-0.90234375, -0.52734375]"
test_01108,2,0,"[-0.0020904541015625, -6.375]"
test_03483,2,1,"[-7.375, -0.000797271728515625]"
test_03880,2,0,"[-0.00116729736328125, -7.125]"
test_03974,3,1,"[-5.25, -0.0069580078125, -6.5]"
test_04196,2,1,"[-1.2265625, -0.34765625]"
test_01888,3,2,"[-3.53125, -5.65625, -0.033447265625]"
test_04072,3,2,"[-2.53125, -1.78125, -0.28515625]"
test_02289,3,0,"[-0.70703125, -0.70703125, -4.34375]"
test_00364,3,2,"[-6.5, -9.125, -0.001708984375]"
test_02853,3,1,"[-2.9375, -0.181640625, -2.1875]"
test_02360,3,1,"[-2.6875, -0.06982421875, -8.9375]"
test_00614,3,1,"[-1.8359375, -0.333984375, -2.078125]"
test_02178,3,2,"[-0.87109375, -3.125, -0.62109375]"
test_00729,3,0,"[-0.16796875, -2.296875, -2.921875]"
test_01376,3,0,"[-0.55078125, -2.171875, -1.171875]"
test_01475,3,0,"[-0.498046875, -2.25, -1.25]"
test_04025,3,0,"[-0.287109375, -2.28125, -1.9140625]"
test_00094,3,2,"[-1.4609375, -2.953125, -0.333984375]"
test_03955,3,2,"[-1.9453125, -3.4375, -0.1923828125]"
test_00427,3,0,"[-0.7421875, -1.8671875, -0.9921875]"
test_00565,3,0,"[-0.74609375, -2.25, -0.87109375]"
test_00017,3,1,"[-0.97265625, -0.474609375, -7.96875]"
test_01335,3,2,"[-0.94140625, -3.1875, -0.56640625]"
test_02960,3,2,"[-3.078125, -3.578125, -0.0771484375]"
test_03826,3,2,"[-1.1796875, -3.171875, -0.4296875]"
test_03686,3,2,"[-1.6015625, -2.359375, -0.3515625]"
test_03404,3,2,"[-0.84765625, -2.46875, -0.72265625]"
test_03030,3,1,"[-2.625, -0.50390625, -1.125]"
test_01098,3,2,"[-1.9375, -2.0625, -0.314453125]"
test_02631,3,0,"[-0.1298828125, -3.0, -2.625]"
test_00885,3,1,"[-2.75, -0.12109375, -3.0]"
test_03349,3,1,"[-1.921875, -0.30078125, -2.171875]"
test_02609,3,0,"[-0.0024871826171875, -6.375, -7.875]"
test_02281,2,1,"[-9.25, -0.000667572021484375]"
test_00016,3,0,"[-0.0012664794921875, -7.5, -8.5]"
test_03731,3,0,"[-0.004119873046875, -6.5, -6.0]"
test_00426,3,2,"[-2.828125, -3.828125, -0.083984375]"
test_02705,3,2,"[-1.8203125, -2.1875, -0.3203125]"
test_03261,2,0,"[-0.00075531005859375, -7.5]"
test_03925,3,2,"[-7.5, -10.125, -0.000713348388671875]"
test_03996,3,0,"[-0.63671875, -1.3828125, -1.5078125]"
test_03201,4,1,"[-14.125, -0.00034332275390625, -10.625, -10.875]"
test_03294,3,0,"[-0.388671875, -1.890625, -1.765625]"
test_00748,3,1,"[-3.53125, -0.038330078125, -4.78125]"
test_02231,3,0,"[-0.00096893310546875, -7.75, -7.75]"
test_03665,3,0,"[-0.0004482269287109375, -8.75, -8.75]"
test_04071,3,2,"[-11.375, -13.125, -9.393692016601562e-05]"
test_01851,3,2,"[-9.0, -11.5, -0.0002288818359375]"
test_02225,3,1,"[-3.65625, -0.028564453125, -6.15625]"
test_01848,3,0,"[-0.000942230224609375, -7.875, -7.75]"
test_00545,3,2,"[-8.875, -11.0, -0.00025177001953125]"
test_00568,2,0,"[-0.0625, -2.8125]"
test_03573,3,1,"[-2.484375, -0.11279296875, -3.734375]"
test_03509,3,2,"[-2.359375, -4.625, -0.1103515625]"
test_03899,3,0,"[-0.00653076171875, -5.875, -5.625]"
test_02876,3,1,"[-2.828125, -0.0771484375, -4.1875]"
test_03535,3,0,"[-0.01202392578125, -5.0, -5.25]"
test_00892,3,0,"[-0.0035400390625, -6.375, -6.375]"
test_00745,4,2,"[-9.0, -6.75, -0.009033203125, -4.875]"
test_01745,3,1,"[-4.28125, -0.018798828125, -5.40625]"
test_03228,3,2,"[-8.25, -10.625, -0.0003757476806640625]"
test_00286,3,0,"[-0.51171875, -2.140625, -1.265625]"
test_03635,2,0,"[-0.251953125, -1.5]"
test_01589,2,1,"[-8.875, -0.000560760498046875]"
test_02208,3,2,"[-0.9609375, -1.7109375, -0.8359375]"
test_03512,3,2,"[-1.484375, -1.484375, -0.609375]"
test_04209,2,1,"[-2.34375, -0.10107421875]"
test_01805,2,0,"[-0.6328125, -0.76171875]"
test_02967,2,0,"[-0.6328125, -0.7578125]"
test_01930,2,1,"[-0.82421875, -0.57421875]"
test_00456,3,2,"[-10.375, -9.75, -0.00023651123046875]"
test_03887,2,1,"[-0.9765625, -0.474609375]"
test_00289,3,1,"[-8.75, -0.0009918212890625, -7.375]"
test_01430,3,0,"[-0.00032806396484375, -10.0, -12.875]"
test_02351,4,3,"[-11.75, -9.375, -9.25, -0.0004119873046875]"
test_02131,4,3,"[-12.625, -10.375, -10.5, -0.00023365020751953125]"
test_02949,4,1,"[-8.25, -0.00164794921875, -7.375, -8.25]"
test_02087,4,0,"[-0.0004482269287109375, -11.625, -11.5, -12.75]"
test_00577,4,0,"[-0.000476837158203125, -11.5, -11.25, -13.5]"
test_01646,4,1,"[-8.75, -0.00103759765625, -7.875, -8.875]"
test_01151,4,1,"[-10.5, -0.000804901123046875, -8.5, -10.0]"
test_00966,4,3,"[-11.375, -9.25, -8.75, -0.0004749298095703125]"
test_02910,4,1,"[-10.25, -0.000728607177734375, -8.75, -9.0]"
test_01638,4,2,"[-12.625, -10.125, -0.0006256103515625, -8.0]"
test_00857,4,3,"[-12.125, -9.625, -9.875, -0.0003223419189453125]"
test_03211,4,3,"[-10.75, -8.125, -7.125, -0.00138092041015625]"
test_02526,4,3,"[-12.25, -10.125, -9.25, -0.0003910064697265625]"
test_00772,4,2,"[-11.625, -8.875, -0.0006256103515625, -9.125]"
test_01088,4,3,"[-12.125, -9.25, -8.0, -0.00070953369140625]"
test_00580,4,2,"[-9.625, -7.75, -0.00079345703125, -11.5]"
test_01257,4,2,"[-11.875, -10.0, -0.0010223388671875, -7.25]"
test_03616,4,3,"[-10.5, -9.0, -8.375, -0.000728607177734375]"
test_02192,4,1,"[-11.75, -0.000484466552734375, -10.125, -11.0]"
test_03144,4,1,"[-10.875, -0.0008087158203125, -8.25, -8.75]"
test_00694,4,2,"[-13.0, -10.75, -0.0004024505615234375, -9.125]"
test_01614,4,1,"[-11.25, -0.00112152099609375, -8.625, -7.75]"
test_01826,4,3,"[-12.75, -10.0, -8.875, -0.0004062652587890625]"
test_02663,4,1,"[-9.25, -0.0012359619140625, -7.875, -8.375]"
test_03019,4,0,"[-0.0005035400390625, -11.875, -11.25, -13.875]"
test_01283,4,3,"[-11.5, -9.25, -8.875, -0.00054168701171875]"
test_02213,4,1,"[-10.375, -0.00067138671875, -8.875, -9.125]"
test_01737,4,3,"[-10.875, -9.25, -9.5, -0.00041961669921875]"
test_03053,4,0,"[-0.00075531005859375, -10.625, -11.0, -12.375]"
test_02183,4,2,"[-12.625, -10.5, -0.00057220458984375, -8.0]"
test_02565,4,3,"[-11.25, -9.25, -8.375, -0.00054168701171875]"
test_00371,4,2,"[-9.75, -8.625, -0.000701904296875, -11.125]"
test_01871,4,0,"[-0.000621795654296875, -11.0, -11.0, -13.25]"
test_03437,4,1,"[-10.375, -0.000701904296875, -8.5, -9.25]"
test_00250,4,0,"[-0.000396728515625, -11.625, -11.625, -13.125]"
test_00680,4,0,"[-0.000499725341796875, -10.75, -11.25, -13.875]"
test_01536,4,2,"[-9.875, -8.5, -0.000888824462890625, -8.0]"
test_02718,4,3,"[-13.125, -10.25, -10.0, -0.000286102294921875]"
test_03759,4,3,"[-12.25, -10.125, -10.25, -0.0002841949462890625]"
test_01399,4,3,"[-11.25, -9.125, -8.375, -0.000522613525390625]"
test_02590,4,3,"[-11.25, -9.5, -8.0, -0.000644683837890625]"
test_00354,4,3,"[-11.375, -9.0, -7.5, -0.000919342041015625]"
test_03583,4,3,"[-11.625, -9.5, -9.0, -0.0004405975341796875]"
test_00828,4,3,"[-12.0, -9.625, -9.5, -0.0004558563232421875]"
test_02149,4,0,"[-0.000576019287109375, -10.5, -10.625, -12.5]"
test_02154,4,0,"[-0.000518798828125, -10.375, -10.25, -11.875]"
